NumeroProcurado,ComparacoesLista,ComparacoesBST
4454,5200,15
11495,8014,20
22284,2006,20
25772,2548,13
17038,3675,24
30111,280,20
12833,3416,22
12180,1729,17
3492,5820,18
11588,7339,20
5870,1133,19
17328,3593,18
6720,1172,16
29891,1571,20
29351,3298,20
17732,1487,18
20166,1670,16
8445,8040,14
12209,8911,12
27992,3478,22
30833,49,14
8842,2622,23
28644,6186,11
24669,3603,17
6229,9869,11
21510,5500,16
17683,8362,18
796,3316,18
5630,3671,14
28558,9836,7
21645,8289,15
28760,7907,14
22279,9195,16
30266,4104,19
5128,6487,12
30502,8409,17
1403,5972,12
4496,1888,19
10963,3399,18
25998,7796,13
28882,9173,10
32655,2123,21
1133,3915,19
2396,2246,17
30614,3925,12
8853,6163,19
7767,8278,15
12891,9411,16
12550,381,24
23715,2048,21
1678,7286,15
28264,1945,16
16650,2290,25
7067,6209,16
20990,9894,11
24350,7805,14
4708,1953,14
30674,5132,13
7056,4549,18
16881,9594,17
29446,6190,21
29146,2299,19
19922,3242,18
2859,2393,13
18262,8155,14
13701,2915,17
13056,1474,22
28218,8432,10
1754,9369,10
27373,2836,23
5650,4223,19
4557,3227,15
24948,9393,11
14391,803,18
6780,2593,14
4557,3227,15
31049,3040,16
32737,5031,16
28683,9282,9
30122,3793,20
29535,7204,17
7462,1397,21
16118,7827,24
6731,2105,15
7454,857,22
17487,3197,26
16191,4552,25
24837,9720,9
21255,8771,13
24808,2657,13
18478,6932,17
2079,4276,14
5200,202,20
27930,7849,17
32608,7301,14
5317,9990,5
27177,952,20
12251,1961,22
2150,703,20
23564,8752,16
513,4498,11
29650,8573,16
28432,728,13
13147,9150,14
26887,2135,17
26055,2683,16
11377,5527,26
16656,8799,19
314,9068,8
1874,9397,13
4528,8908,14
13217,1410,19
6840,852,13
24190,7297,18
18374,7022,16
30910,4159,17
4998,4193,18
23151,6233,18
5348,5095,13
18778,1882,17
25614,6668,14
13725,9154,14
5264,5776,15
10808,1769,18
16088,452,25
12934,4062,22
25482,2316,15
4495,6960,16
334,3369,18
32078,7840,12
31503,2790,17
3611,6402,14
4383,1446,17
9447,3412,17
29049,3483,14
8041,2902,17
22808,8897,16
5660,3386,21
11493,3190,22
20215,6587,16
9042,946,21
21971,423,18
29677,8253,14
26263,5245,13
18109,3109,25
24240,666,20
3338,79,16
3165,8131,11
317,8496,9
3251,2367,16
31668,7723,15
28581,7502,11
19940,2292,19
12599,2022,33
28233,4528,13
5072,7377,13
14220,1140,22
2349,2914,14
19428,8630,11
4484,4081,17
25988,5959,16
13354,2402,19
20934,8464,10
2869,9933,5
25215,9758,10
31268,4367,14
5125,1550,14
31376,9099,13
23534,8709,17
8352,9322,13
17030,6468,21
25803,4038,12
28949,5370,14
8538,6435,24
20832,9678,6
8717,5562,24
4363,6062,14
23195,7049,17
5039,1551,18
14970,7708,16
29379,3887,22
24549,278,19
1746,2668,18
25532,1529,13
12336,9826,14
28972,3911,16
20315,8747,16
7037,8997,14
5911,7618,17
24676,3549,17
7426,620,21
5844,5569,17
32100,7882,14
20540,8277,16
16436,3331,22
16485,1561,23
26745,7362,17
22824,7319,18
20248,5259,12
2054,5796,12
3499,1979,19
9072,2145,23
26749,2827,19
23879,9497,12
1745,187,19
13653,162,23
12855,6806,19
9319,6066,20
9364,7640,19
16565,1703,29
12780,868,24
23927,8098,15
14028,7174,20
4905,8582,14
24344,355,21
28716,5126,13
22219,7599,15
18852,3787,17
2174,6107,15
30078,7117,17
28758,5765,15
5476,7814,15
8790,8388,20
15092,7383,18
15729,3065,26
31109,4418,18
6453,649,21
19816,6096,14
10804,7177,17
6840,852,13
21555,8969,14
18423,7257,15
23536,3885,20
2788,2601,10
20165,5682,15
1584,5595,14
1022,2702,17
10583,8732,14
23647,8989,15
27091,2204,22
24149,1611,24
2437,1738,17
19167,5112,17
10081,5406,11
20169,4620,15
19696,8598,10
30129,8006,17
27538,3962,20
24086,5939,17
28284,8636,10
7634,1928,17
1665,7584,14
8179,7078,18
4076,887,17
9152,6072,21
3898,8923,14
23929,4045,19
17169,7793,21
10089,4089,12
5560,8167,12
8724,1581,22
4168,718,15
12504,1,20
29723,5027,15
24583,2673,15
14564,2216,24
257,7794,10
7462,1397,21
5943,6907,23
31421,1977,18
7659,2379,18
20448,2865,18
24001,6511,13
23000,6747,19
10584,3474,15
22592,3863,19
14992,9178,14
4558,4976,14
30809,6879,14
27208,7151,15
24057,1013,18
10876,8992,13
28878,1944,15
25654,8838,11
10660,8045,14
8572,8950,19
28449,6303,14
5262,6870,13
14106,9198,14
25629,6154,15
18666,1131,13
24572,3304,16
13524,9635,11
29847,7069,16
3957,5241,13
10089,4089,12
18092,7967,20
12626,7767,23
15293,4033,18
22599,7486,17
15307,9018,14
10608,1361,20
1456,8857,7
541,6984,8
26836,9483,14
3566,5410,17
20727,27,14
